x,y,z,pd
-8.000000,-6.500000,0.000000,1.730288
-8.000000,-6.000000,0.000000,1.755414
-8.000000,-5.500000,0.000000,1.625707
-8.000000,-5.000000,0.000000,1.389394
-8.000000,-4.500000,0.000000,1.475586
-8.000000,-4.000000,0.000000,1.030525
-8.000000,-3.500000,0.000000,0.993629
-8.000000,-3.000000,0.000000,1.212336
-8.000000,-2.500000,0.000000,1.034574
-8.000000,-2.000000,0.000000,1.051058
-8.000000,-1.500000,0.000000,1.523233
-8.000000,-1.000000,0.000000,1.740456
-8.000000,-0.500000,0.000000,2.686050
-8.000000,0.000000,0.000000,3.492638
-8.000000,0.500000,0.000000,2.878856
-8.000000,1.000000,0.000000,2.172780
-8.000000,1.500000,0.000000,1.734770
-8.000000,2.000000,0.000000,1.547260
-8.000000,2.500000,0.000000,1.531659
-8.000000,3.000000,0.000000,1.678559
-8.000000,3.500000,0.000000,1.180415
-8.000000,4.000000,0.000000,1.115667
-8.000000,4.500000,0.000000,1.733498
-8.000000,5.000000,0.000000,3.754973
-8.000000,5.500000,0.000000,1.776453
-8.000000,6.000000,0.000000,0.877547
-8.000000,6.500000,0.000000,1.161622
-8.000000,7.000000,0.000000,1.504777
-8.000000,7.500000,0.000000,1.299648
-8.000000,8.000000,0.000000,1.614159
-8.000000,8.500000,0.000000,1.711513
-8.000000,9.000000,0.000000,1.329542
-8.000000,9.500000,0.000000,1.376122
-8.000000,10.000000,0.000000,1.651631
-8.000000,10.500000,0.000000,2.433017
-8.000000,11.000000,0.000000,3.784213
-8.000000,11.500000,0.000000,1.788459
-7.500000,-13.500000,0.000000,2.914930
-7.500000,-13.000000,0.000000,2.127299
-7.500000,-12.500000,0.000000,1.282938
-7.500000,-12.000000,0.000000,1.345129
-7.500000,-11.500000,0.000000,1.271394
-7.500000,-11.000000,0.000000,0.863585
-7.500000,-10.500000,0.000000,1.451099
-7.500000,-10.000000,0.000000,1.659276
-7.500000,-9.500000,0.000000,1.261406
-7.500000,-9.000000,0.000000,0.918048
-7.500000,-8.500000,0.000000,0.847032
-7.500000,-8.000000,0.000000,0.846390
-7.500000,-7.500000,0.000000,0.990095
-7.500000,-7.000000,0.000000,1.279207
-7.500000,-6.500000,0.000000,1.565319
-7.500000,-6.000000,0.000000,1.651942
-7.500000,-5.500000,0.000000,1.607764
-7.500000,-5.000000,0.000000,1.342507
-7.500000,-4.500000,0.000000,1.351007
-7.500000,-4.000000,0.000000,0.971369
-7.500000,-3.500000,0.000000,1.090781
-7.500000,-3.000000,0.000000,1.027774
-7.500000,-2.500000,0.000000,1.037788
-7.500000,-2.000000,0.000000,1.551313
-7.500000,-1.500000,0.000000,1.993597
